Er,Ee
0.021261549770870747, 0.00005190887543821132
0.024394517725140865, 0.00005190887543821132
0.02798914008881491, 0.00005190887543821132
0.03211344334567212, 0.00005190887543821132
0.03684547793334361, 0.00005190887543821132
0.042274795309967035, 0.0011924795347254546
0.04850414267207286, 0.0035876779192287045
0.05565140739541603, 0.005526648040016957
0.063851847996352, 0.007617694248710227
0.07326065383361835, 0.009746759479379696
0.08405588199163619, 0.012065919819930493
0.09644182692442281, 0.014499137226409886
0.11065288662899044, 0.01716046876474675
0.12695799851368791, 0.020125952478893594
0.14566572890813914, 0.0232815313029216
0.16713011253128593, 0.026817300346712036
0.19175735242663206, 0.030581183522359945
0.2200135071577138, 0.03480129496172274
0.2524333107402382, 0.03936357759887166
0.2896302922238267, 0.044496145565664225
0.3323083864315368, 0.05012296081814793
0.3812752555847713, 0.056282042378299035
0.4374575739188651, 0.06312546633402244
0.5019185645432762, 0.07076728975124696
0.5758781204229576, 0.07901741752009128
0.6246061659218367, 0.08390286184403828
0.7486833723700125, 0.09696239589287714
0.9316894885746834, 0.11011064099299389
1.116768399617553, 0.11993855817385224
1.2845008702939233, 0.128021978021978
1.4291578986547908, 0.13516483516483513
1.603212488987213, 0.14285714285714285
1.7984648772986445, 0.14945054945054945
1.9846444291772425, 0.15714285714285714
2.1193525589268365, 0.16263736263736261
2.3006673670269047, 0.16978021978021976
2.5797288516254357, 0.17900744531760576
2.941425584140625, 0.18849699320287555
3.3329450668116567, 0.19753031282443045
3.753055021502736, 0.206368468133174
4.1997959710607855, 0.2150579268226327
4.699714258778967, 0.22411912706030354
5.226382613532671, 0.23288990421343364
5.812071483284884, 0.24205565676153915
6.463394937704406, 0.2515002154708037
7.1429387467810095, 0.26075309494427146
7.893927948395904, 0.27005825057295646
8.669536426732673, 0.27923644982468515
9.521351391320694, 0.2881980764333706
10.522400445939176, 0.29802599361422893
11.628697082394208, 0.307331149242914
12.85130674591181, 0.3165317525611644
14.471183997567472, 0.3262170984096118
16.500149159641886, 0.33507933243227367
18.69640729304806, 0.34390354743295926
21.18499913458524, 0.3530623298270358
23.559072966590822, 0.36114571702807
