Ee,eff
0.09896670493685417,0.09514170040485825
0.10264064293915037,0.10485829959514159
0.10631458094144658,0.11700404858299596
0.10998851894374279,0.13036437246963561
0.11182548794489089,0.14129554655870447
0.1154994259471871,0.1510121457489879
0.11917336394948336,0.16194331983805665
0.12284730195177956,0.1753036437246963
0.12468427095292767,0.18744939271255057
0.12835820895522387,0.20080971659919022
0.13203214695752008,0.2178137651821862
0.1375430539609644,0.23238866396761126
0.1393800229621125,0.24939271255060724
0.1430539609644087,0.2627530364372469
0.1467278989667049,0.27732793522267196
0.1467278989667049,0.2870445344129554
0.15040183696900117,0.29676113360323886
0.15774971297359358,0.3319838056680162
0.16142365097588973,0.3502024291497975
0.16509758897818594,0.3720647773279352
0.17060849598163036,0.3939271255060729
0.17979334098737082,0.4364372469635627
0.18346727898966697,0.4546558704453441
0.19265212399540754,0.48866396761133596
0.19816303099885185,0.5153846153846153
0.20367393800229622,0.5360323886639675
0.20734787600459242,0.5506072874493926
0.2128587830080368,0.5724696356275303
0.22939150401836966,0.6210526315789473
0.23673938002296208,0.6356275303643724
0.24592422502870265,0.6538461538461537
0.2642939150401837,0.6866396761133603
0.27715269804822046,0.7060728744939271
0.30838117106773827,0.7291497975708502
0.3414466130884041,0.7425101214574898
